user_id_str,full_text
1624518348,Se buruk buruknya bandara ternate lebih buruk pelayanan bandara Luwuk
318411580,Asik cair trims Pemda Luwuk. Yuk satu bulan sisanya bisa cair lagi gausa fafifu 
99831052,Mudik ke kota orang wkwk.. mudah mudah jadi mudik terakhir ke Luwuk.. next bisa mudik terus bareng org rumah
167487983,Manifesting bisa ke Luwuk Banggai suatu hari nanti. Bismillah yakin 
218445618,liat ig liat pantai di Banggai Laut tp nyebrang dr Luwuk pake kapal besar aja 4-6jam
1058980665788575744,Mo pulang luwuk malah ga punya duit anjay
613586343,ini capekk kayak tidak mo ilang² blum habis capek dari gorontalo so lanjut k luwuk di luwuk sana mari urus ini itu ya Allah maapkan selalu mengeluh ‍️
931694269,mukaku tahun 2011 masih luwuk bopung abis. bisa-bisanya tahun segitu IU Suzy sama Eunbin udah bening banget ga keliatan jametnya sama sekali 
318411580,PAK JOKOWI KE LUWUK TUH KAYA .. KNP GA PAS GW ISHIP SIH? 
591388806,Sailing from luwuk sulteng to weda halmahera
2936674712,Here we go again luwuk dgn gempa nya
1295245376954306560,selama ngeba penasaran bgt ada gsi tmn ba yg dri luwuk banggai jg? #zonauang
1727495548780134401,Mimpiin org yg ga pengen diinget. Mana samperin sampe ke luwuk lagi
1153245521974190081,Luwuk beserta uap lautnya
1058980665788575744,Liat di tiktok ada yg dibangunin sahur sama anak-anak kompleksnya aku jadi kangen puasa di Luwuk yg tiap sahur dibangunin gt jugakkk sama anak-anak kompleksku. Yg awalnya nyebut aku doang hari hari berikutnya udah bawa mama papaku juga 
193969272,Nu sok beja bandung mah hidupnya pelan dsb berarti can pernah nyobaan Luwuk Balige Klaten Purwokerto Wonosobo Tarutung dsb
1727495548780134401,Jalan ke banggai luwuk seru ga sih? Wkwkkw
1037296364722388992,Hallo sobat BaLuk terima kasih atas partisipasi yang diberikan dalam mendukung Balai Pemasyarakatan Kelas II Luwuk Jajaran Kementerian Hukum dan HAM Sulawesi Tengah guna memberikan pelayanan yang terbaik bagi masyarakat.
1018553590221189120,Harga harga di pasar tradisional di Luwuk Banggai hampir semua naik di antaranya beras sayur tomat gula pasir.
1621936047067373569,setiap perpindahan kota pasti satu masalah utama tuh breakout di muka ada aja. skrg tbtb kering bgt muka mo nangis hiks pdhl air luwuk dingin seger tp itu hawa nya panas bgt balik lg cocok2an emg️
2335094394,Jauh2 ke luwuk ketemunye @yogabujang
2362577604,provinsi sulawesi tengah jga sih tapi ya saya memilih luwuk karna ya saya memang belum pernah kesini dan saya sangat penasaran dengan kota ini yang menawarkan berbagai macam keindahan alam dan saya akan mengexplorenya
2362577604,Memutuskan untuk memulai mimpi yang mungkin banyak orang mengatakan itu mimpi yg biasa saja tapi menurut saya itu besar yaitu keliling pulai sulwesi yaa walaupun tdk semua tempat pastinya perjalan dimulai dari morowali sulawesi tengah menuju luwuk banggai yang masih sama2 di
2362577604,3 hari di luwuk banggai nama panggilan su menjadi daeng
1126905431916343297,Luwuk banggai terima kasih atas segala keindahan dan kebaikan yang sudah diberikan. Suatu hal yang tak akan terlupakan.
855621674,Purwokerto - Bekasi - Luwuk... ekspedisi 45 hari..
593578976,Wishlist: bisa ke Luwuk Banggai lagi tapi liburan bukan kerja :)
1126905431916343297,Selesai sudah singgah makasar lanut luwuk jalur laut
1315054649846624257,Jakarta - Madiun - Trenggalek - Madiun - Jakarta - Makassar - Luwuk.. dalam 2 hari 
147876846,Next luwuk letsss goooooo~~~~
1018553590221189120,Tolong dong mas @prastow ingatkan layanan KPP Pratama Luwuk. Pegawai resepsionis wajahnya kecut minta ampun saat melayani orang mau urus NPWP pas tanya ke resepsionis dijawab sekenanya.
231309444,saya ke medan bisa merasakan kereta bandara ke bitung bisa lewat tol dari manado ke samarinda sudah ada jalur jembatan baru ke jayapura sudah melewati jembatan baru ke luwuk sudah menjadi kota maju masih heran banyak orang terhasut hanya dari omongan anis seolah negara ini rusak
1002601285,Yeayyy besok pulang Luwuk 
117678778,Selayar kayaknya asik ya? atau Tanjung Puting? atau Luwuk Banggai? atau Toraja? atau Sumba? atau Waerebo? ah banyak kali wishlist ini
318411580,Ni mau ngeprint aja degdegan stgh mati karena print harus di kertas yang udah dicap basah RSUD Luwuk:) sampe salah ga ngerti lagi Banggai jauh bos. Untung kelar besok tinggal ke Dinkes 
318411580,Terimakasih Luwuk 
318411580,Ga nyangka bisa tahan setahun untuk ga pulang dari Luwuk mengabdi di sini sampe akhirnya Hari Kamis besok balik ke keluarga masing-masing. What a year.
223750812,Kalau ada kesempatan beli hp baru mau beli hp yg kameranya canggih sehingga bisa capture galaxy dari langit malam di luwuk
548968540,sebenernya di luwuk ini banyak bgt yg bisa diexplore tapi sygnya w brgkt udh dalam kondisi capee jd mau muter2 sendiri jg udh gada tenaga huee tp syg bgtt ini udh jauh2
570645290,Jogja -&gt;jakarta-&gt;palu-&gt;luwuk Oh Tuhan tepaaaarrrrrrrr
207047571,kenapa tiket pesawat ke Jeju lebih murah dari pada ke Luwuk 
76216670,Pengen deh ke Luwuk lagi
1009502826538532864,nyari promo tiket pesawat dimana deh luwuk - makassar mahal bgt yaAllah
538157358,Luwuk isinya napa banyak bule gini sama orang jepang oiya banyak LNG nya maklum 
318411580,Luwuk after rain 
2275772358,Bagaimana dengan luwuk 
315493001,masih teringat 25 tahun yang lalu di luwuk tinggal di rumah oma opa di jalan pelita .
2185977434,udah kangen luwuk aja
1284061445148209154, tanya dong biaya kirim paxel dari Palembang ke Luwuk Sulawesi Selatan itu kira-kira berapa ya?
533918606,pen buat thread tentang stase forensik luwuk tp masi blom dpt waktunyaaaaa.... nnti ae dah klo udah lg free bgttttt
799424130701344768,Ternyata msh banyak air terjun sekitaran luwuk yg blm aku datangi P inpo partner gaaaas
1457026249734295563,Luwuk stay pijat pasutri
1130577415044882432,Liat agenda bulan ini sd Februari jejer2 travellingnya. Singapura Semarang Probolinggo Jogja terus terakhir ke Luwuk. Holah mendem tenan kalau gak dopping vitamin ini 
128556683,Kok bisa @BatikAirID lagi-lagi overbook rute Luwuk- Makassar
717478404,Seneng banget di luwuk udah ada bebek goreng mirip h. slamet wkwk 
585665750,Ternyata Pak Menkes habis kunjungan ke Palu. Mbok mampir sisan pak ke Luwuk Banggai. Biar liat sarana kesehatan di sini juga. Daerah luas kayak Banggai gini *cuma* ada dua RS Pemerintah. 1 RS tipe B dan 1 RS Pratama mendapat beban rujukan dari 27 Puskesmas 
156313998,Bangsaaatt . jaringan di #luwuk hancuurrr parah
533918606,terimakasih luwuk :)
156313998,Judul nya doank ini #luwuk kota berair tpi sering mati air PAM euy bangsaat lah udah 2 hari gak mandi bau badan dan gerah nya sungguh luar biasa
1163481884350803968,LASTT DAY!! dadahh luwuk pankapann lagii (boong udh rncana balik kalo ada libur doain ga kepotong penelitian)
1243301761873367040,Info raja Ampat apa Luwuk Banggai?
318411580,Bangun tidur dg gempa + timingnya pas keluar breaking news Gempa Jepang dari CNN. Kirain emg widespread sampe Luwuk ternyata emang 2 titik pusat yang berbeda. All is well 
1353611834,Luwuk pe panas le s krg sama deng gtlo 
1317048497632243712,Taun kemarin sibuk ngurusin proyek di palu taun ini ditinggal ngurusin di luwuk 
1317048497632243712,Badan pegel boyok sakit buat jongkok kang pijetku lagi di luwuk mingdep mau balik darjo pula
86005529,ya Allah manifesting bisa ke Luwuk tahun depan aamiin
1163481884350803968,hi pipel! hri ini luwuk masih sepanas itu bahkan angin dikit aja gaada tapi gue ga rela balik bandung huhuw
1271694834638532609,luwuk panas
1163481884350803968,luwuk panas bgt kayak ada 7 mataharinya cuy
164959055,persamaan ketika aku di kantor luwuk dan poso: 1. ga ikut acara penyambutan di luwuk karena ketinggalan pesawat di poso karena covid 2. ga ikut acara perpisahan di luwuk karena covid di poso karena kantornya membelah diri 
1285774651885449216,knp in org luwuk tlalo sibuk dan trg p urusan e bnyak sp mslh in klo suka mo b urus supa sa kse stngah supa berkurang sp beban
1550674939061370880,terbangun kukira aku lagi di Luwuk Banggai liburan
318411580,Luwuk dingin bet dah akhir-akhir ini
