text,clean_double_ws,text_en,scores,compound,comp_scores
15 Menit sebelm tutup kantor minta ditunggu bilang so mau otw. 20 menit berlalu ditanya katanya baru mau otw skrang so 45 menit berlalu blm muncul juga Persibal - Puge so macam yg otw dari Batui e. Tolongggg kalu basuru batunggu tau diri sedikit bisa kannnnn ?! ,15 Menit sebelm tutup kantor minta ditunggu bilang so mau otw. 20 menit berlalu ditanya katanya baru mau otw skrang so 45 menit berlalu blm muncul juga Persibal - Puge so macam yg otw dari Batui e. Tolongggg kalu basuru batunggu tau diri sedikit bisa kannnnn ?!,"15 minutes before the office closed, asked to wait, said so I'm going to be there. 20 minutes passed and he was asked, he said he was just going to go out now, so 45 minutes passed and Persibal - Puge, like the one from Batui, didn't show up. Please, if Basuru Batunggu knows a little, you can do it, right?!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Salah satu hal teraneh di dunia ini versiku adalah org batui tapi manggil namaku izza ,Salah satu hal teraneh di dunia ini versiku adalah org batui tapi manggil namaku izza,One of the strangest things in this world in my opinion is that someone Batui calls me Izza,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
W benci bgt kalo co cod tapi alamatnya salah harusnya ke luwuk malah jd ke batui nnti mak ku ngomel² kalo aku co trus ,W benci bgt kalo co cod tapi alamatnya salah harusnya ke luwuk malah jd ke batui nnti mak ku ngomel² kalo aku co trus,"I really hate it when I co-code but the address is wrong, I have to go to Luwuk instead I go to Batui then my mom grumbles if I co-code then","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Aku kalo di luwuk ngecas hp sehari 2 kali pas bangun subuh sama sore pas beberes giliran di batui ngecas sekali bisa dipake 2 hari kalo di luwuk tuh bener² kesepian jd larinya main hp trus,Aku kalo di luwuk ngecas hp sehari 2 kali pas bangun subuh sama sore pas beberes giliran di batui ngecas sekali bisa dipake 2 hari kalo di luwuk tuh bener² kesepian jd larinya main hp trus,"If I'm in Luwuk, I charge my cellphone twice a day when I wake up at dawn and in the afternoon when I'm done, it's my turn to charge it. I can use it once every 2 days. If I'm in Luwuk, it's really lonely, so I run and play with my cellphone.","{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negatif
Kenapa batui itu dinginnya aneh,Kenapa batui itu dinginnya aneh,Why is Batui so strangely cold?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Batui dr januari sampe awal oktober msh hujan terus kata mama soalnya ada korona jd cuacanya jg berubah Memang 2020 beda.,Batui dr januari sampe awal oktober msh hujan terus kata mama soalnya ada korona jd cuacanya jg berubah Memang 2020 beda.,"From January until the beginning of October it still rained continuously, Mom said because there was corona so the weather also changed. Indeed, 2020 is different.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Sambutan dari batui.. (mobotu na uwe.. Kaa mobotu nah potoutusan batui tobaa banggai?) Artix : putus air laut atau kuala baru putus persaudaraan batui dengan banggai. #luar_biasa_ini_kalimat,Sambutan dari batui.. (mobotu na uwe.. Kaa mobotu nah potoutusan batui tobaa banggai?) Artix : putus air laut atau kuala baru putus persaudaraan batui dengan banggai. #luar_biasa_ini_kalimat,Greetings from Batui.. (Mobotu na Uwe.. Kaa Mobotu nah potoutusan Batui Tobaa Banggai?) Artix: breaking up the sea or Kuala Baru breaking up the Batui and Banggai brotherhood. #this_extraordinary_sentence,"{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.1027}",-0.1027,negatif
Siap siap berangkat ke Batui #Sulawesi_Utara,Siap siap berangkat ke Batui #Sulawesi_Utara,Ready to go to Batui #North_Sulawesi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Disampaikan kepada masyarakat apabila melihat/mengenal kendaraan Suzuki Carry Putih dengan Velg Merah tersebut agar segera melapor atau menghubungi kantor polisi terdekat karena kendaraan tersebut terlibat kejadian Laka Lantas di Ds. Honbola Kec. Batui,Disampaikan kepada masyarakat apabila melihat/mengenal kendaraan Suzuki Carry Putih dengan Velg Merah tersebut agar segera melapor atau menghubungi kantor polisi terdekat karena kendaraan tersebut terlibat kejadian Laka Lantas di Ds. Honbola Kec. Batui,"It is conveyed to the public that if they see/recognize the white Suzuki Carry vehicle with red rims, they should immediately report it or contact the nearest police station because the vehicle was involved in a traffic accident in Ds. Honbola District. Batui","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
KASAT LANTAS MENYAPA Giat pengamanan Unjuk Rasa di Kec. Batui Meskipun cuaca sangat panas tetap semangat melaksanakan tugas pak mantap . . #satlantaspolresbanggai #polresbanggai #polisilalulintas,KASAT LANTAS MENYAPA Giat pengamanan Unjuk Rasa di Kec. Batui Meskipun cuaca sangat panas tetap semangat melaksanakan tugas pak mantap . . #satlantaspolresbanggai #polresbanggai #polisilalulintas,"THE ADMINISTRATOR THEN SAYED Actively providing security for the demonstration in the district. Batui Even though the weather is very hot, you are still enthusiastic about carrying out your duties, sir. . #satlantaspolresbanggai #polresbanggai #polilulintas","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
manado bilang busu hati kalau batui ibiih yuu jijik ,manado bilang busu hati kalau batui ibiih yuu jijik,"Manado says it's rotten if you're stoned, you're disgusted","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Ketika hati so dirumah tapi raga masih di batui,Ketika hati so dirumah tapi raga masih di batui,When your heart is at home but your body is still stoned,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Mnta Tolong Are Luwuk .Nambo Batui..Klo liat Cewe yG bju Merah yg D'Dpan nhy Tlong info Krna dri tdi mlm smpe skrng Nhy blm plng,Mnta Tolong Are Luwuk .Nambo Batui..Klo liat Cewe yG bju Merah yg D'Dpan nhy Tlong info Krna dri tdi mlm smpe skrng Nhy blm plng,"Asking for help Are Luwuk. Nambo Batui.. If you see a girl in a red shirt in front of you, please let me know because from last night until now, she hasn't left yet.","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.34}",-0.34,negatif
